name,prompt,response,group_prompt,irq_visual,irq_verbal,irq_orthographic,irq_manipulation,coding,sub_scale
mental_reminisce,I often enjoy the use of mental pictures to reminisce,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.785,0.06,0.101,0.086,positive,IRQ_visual
picture_scene,I can close my eyes and easily picture a scene that I have experienced,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.753,0.026,0.139,0.096,positive,IRQ_visual
image_vivid,My mental images are very vivid and photographic,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.74,0.178,0.23,0.018,positive,IRQ_visual
picture_words,The old saying “A picture is worth a thousand words” is certainly true for me,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.685,0.095,0.066,0.206,positive,IRQ_visual
face_mind,"When I think about someone I know well, I instantly see their face in my mind",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.68,0.023,0.12,0.063,positive,IRQ_visual
mental_remember,I often use mental images or pictures to help me remember things,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.665,0.097,0.14,0.074,positive,IRQ_visual
memories_visual,My memories are mainly visual in nature,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.638,0.046,0.001,0.004,positive,IRQ_visual
travelling_visually,When traveling to get to somewhere I tend to think more visually than verbally,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.612,0.153,0.01,0.001,positive,IRQ_visual
visual_imagery,If I talk to myself in my head it is usually accompanied by visual imagery,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.542,0.077,0.332,0.166,positive,IRQ_visual
visually_static,If I imagine my memories visually they are more often static than moving,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.418,0.043,0.137,0.22,positive,IRQ_visual
problems_myself,I think about problems in my mind in the form of a conversation with myself,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.141,0.776,0.105,0.014,positive,IRQ_verbal
silent_conversation,"If I am walking somewhere by myself, I often have a silent conversation with myself",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.145,0.719,0.068,0.095,positive,IRQ_verbal
conversations,"If I am walking somewhere by myself, I frequently think of conversations that I’ve recently had",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.141,0.699,0.132,0.035,positive,IRQ_verbal
speech_imagination,My inner speech helps my imagination,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.156,0.653,0.078,0.103,positive,IRQ_verbal
think_verbally,I tend to think things through verbally when I am relaxing,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.024,0.65,0.132,0.121,positive,IRQ_verbal
social_problem,"When thinking about a social problem, I often talk it through in my head",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.135,0.595,0.005,0.043,positive,IRQ_verbal
thoughts_mind,I like to give myself some down time to talk through thoughts in my mind,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.298,0.583,0.036,0.342,positive,IRQ_verbal
mind_ear,"I hear words in my ""mind’s ear"" when I think",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.185,0.559,0.032,0.321,positive,IRQ_verbal
vocalize_thoughts,I rarely vocalize thoughts in my mind,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.064,0.493,0.307,0.025,reverse,IRQ_verbal
talk_internally,I often talk to myself internally while watching TV,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.062,0.486,0.325,0.103,positive,IRQ_verbal
memories_conversations,My memories often involve conversations I’ve had,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.087,0.486,0.144,0.046,positive,IRQ_verbal
read_voice,"When I read, I tend to hear a voice in my ""mind’s ear""",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.05,0.467,0.001,0.18,positive,IRQ_verbal
talking_written,"When I hear someone talking, I see words written down in my mind",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.128,0.049,0.789,0.08,positive,IRQ_orthographic
mind_eye,"I see words in my ""mind’s eye"" when I think",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.163,0.081,0.696,0.089,positive,IRQ_orthographic
name_written,"When I am introduced to someone for the first time, I imagine what their name would look like when written down",Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.192,0.054,0.691,0.092,positive,IRQ_orthographic
written_material,A strategy I use to help me remember written material is imagining what the writing looks like,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.071,0.057,0.618,0.039,positive,IRQ_orthographic
summary,I hear a running summary of everything I am doing in my head,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.156,0.326,0.616,0.012,positive,IRQ_orthographic
rehearse_text,I rehearse in my mind how someone might respond to a text message before I send it,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.038,0.363,0.4,0.132,positive,IRQ_orthographic
geometric_figures,I can easily imagine and mentally rotate three-dimensional geometric figures,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.107,0.226,0.064,0.67,positive,IRQ_manipulation
imagine_sentence,I can easily choose to imagine this sentence in my mind pronounced unnaturally slowly,Strongly disagree | Disagree | Neither agree nor disagree | Agree | Strongly agree,Please indicate the extent to which you agree with the following statements.,0.03,0.215,0.146,0.597,positive,IRQ_manipulation
